country_iso3,t,gdp,gdpcap,pop,co2_pc,source
COL,2025,362990610076.1741,6863.59563194342,52886363.0,5.367665384741999,projected
COL,2030,425905553798.1749,7714.301995504468,55209862.67407895,4.775595931979668,projected
COL,2035,496638221426.5999,8678.401329389098,57226924.934290856,1.5731125243004516,projected
COL,2040,576711506194.3513,9780.96543483634,58962636.15658112,1.903762979503809,projected
COL,2045,664792427405.1544,11003.344585463678,60417305.14223828,2.0982422255052784,projected
COL,2050,760919480843.4569,12364.764642144482,61539342.06316497,1.4166752211718547,projected
COL,2055,865237410658.8036,13879.029241317015,62341349.356268026,1.4757811952393096,projected
COL,2060,977387949417.2256,15542.583347676124,62884523.605489396,1.5348871693067645,projected
COL,2065,1097563576040.9841,17382.35698107941,63142390.71465828,1.5772062072031687,projected
COL,2070,1224618655984.7964,19387.77542973287,63164474.976677075,1.6195252450995732,projected
COM,2012,895376387.011074,1313.5812493744024,681630.0,,hist
COM,2013,935365362.1673559,1343.545117104701,696192.0,,hist
COM,2014,955070416.212074,1342.3280242136352,711503.0,,hist
COM,2015,966029600.862227,1329.370482359859,726682.0,,hist
COM,2016,998105646.566284,1345.6255573930575,741741.0,,hist
COM,2017,1036190384.81036,1369.4103826248465,756669.0,,hist
COM,2018,1073934613.01512,1391.8462046101167,771590.0,,hist
COM,2019,1092843397.42943,1389.364306438052,786578.0,,hist
COM,2020,1090706042.10569,1359.7062468671454,802163.0,,hist
COM,2021,1112522258.3942,1359.7624202115933,818174.0,,hist
COM,2022,1141481327.58447,1368.374188533604,834188.0,,hist
COM,2023,1175671154.84031,1382.5130850310625,850387.0,,hist
COM,2024,1214916246.52607,1401.888984115526,866628.0,,hist
COM,2025,1214916246.5260737,1401.88898411553,866628.0,,projected
COM,2030,1669748885.705125,1792.2758213786385,931636.1163767392,,projected
COM,2035,2272423874.139319,2282.154428701382,995736.2418424943,,projected
COM,2040,3069902899.2391095,2910.1654445643007,1054889.4754328046,,projected
COM,2045,4103929683.147131,3715.9832756244314,1104399.3954621633,,projected
COM,2050,5434510826.443403,4751.969760858679,1143633.2931254574,,projected
COM,2055,7138176486.389413,6072.525955587209,1175487.192413187,,projected
COM,2060,9265366993.907505,7706.382382893987,1202297.853072283,,projected
COM,2065,11844781157.970732,9665.194758460184,1225508.7925261622,,projected
COM,2070,14883376265.602861,11958.51357465734,1244584.1343646534,,projected
CPV,2012,1710821579.61286,3341.742105483607,511955.0,0.80830826311737,hist
CPV,2013,1721636311.15762,3361.093877022051,512225.0,0.8913709385576822,hist
CPV,2014,1733630380.4449,3383.842280979103,512326.0,0.9746674991336851,hist
CPV,2015,1749857620.35329,3415.062667309317,512394.0,1.0579993585397565,hist
CPV,2016,1824764034.9525597,3560.1400729534053,512554.0,1.1411042455586644,hist
CPV,2017,1907814790.72833,3719.7130604791446,512893.0,1.2237300326511205,hist
CPV,2018,1978536809.33193,3853.6794003524046,513415.0,1.3057810733908959,hist
CPV,2019,2116002110.9275599,4115.9028346940695,514104.0,1.3872146724270622,hist
CPV,2020,1675762033.71886,3255.9362898405802,514679.0,1.4687555429926185,hist
CPV,2021,1793627260.8812304,3471.655342178598,516649.0,1.516318014868382,hist
CPV,2022,2077803747.08658,3997.7676325065368,519741.0,1.5601438755371841,hist
CPV,2023,2177429478.93487,4168.67748407594,522331.0,1.6049924089655956,hist
CPV,2024,2335159974.83501,4448.966090788908,524877.0,1.6495366379537404,hist
CPV,2025,2335159974.835011,4448.96609078891,524877.0,1.7018661398214865,projected
CPV,2030,2817062919.4765425,5257.1989305973875,535848.6442430348,1.9654774635326913,projected
CPV,2035,3339650537.7559276,6143.384168872225,543617.4014116727,2.2351123663631807,projected
CPV,2040,3926071006.053334,7156.34624058597,548613.8979396088,2.8020882058854784,projected
CPV,2045,4565802426.014139,8290.96706063168,550696.0035692478,3.515204944660597,projected
CPV,2050,5242711220.161267,9538.677722495268,549626.6225451007,4.426761100942053,projected
CPV,2055,5952588629.152862,10912.86848155596,545465.0754028092,3.774313012676219,projected
CPV,2060,6710165310.6854,12463.954995868547,538365.6562391017,3.1218649244103864,projected
CPV,2065,7561737617.519189,14242.083660465782,530943.2101223794,2.747535781577243,projected
CPV,2070,8518528907.89917,16269.642657121049,523584.2659501007,2.3732066387440973,projected
CRI,2012,51310359848.0341,11001.519285657581,4663934.0,1.712574664895681,hist
CRI,2013,52590433317.5191,11151.143786976761,4716147.0,1.7108914999147262,hist
CRI,2014,54453244250.76311,11422.673579317636,4767119.0,1.7096901550288761,hist
CRI,2015,56441920820.519394,11714.710598073198,4818038.0,1.7085330231214166,hist
CRI,2016,58814921621.315895,12084.43513256342,4866998.0,1.7080873337438454,hist
CRI,2017,61260269007.51401,12468.565453170933,4913177.0,1.7086171014517477,hist
CRI,2018,62862779082.590805,12679.525364301555,4957818.0,1.709667206856354,hist
CRI,2019,64382494195.799995,12877.650101079036,4999553.0,1.7116929172797888,hist
CRI,2020,61631202097.72049,12242.20989085328,5034320.0,1.7160569981979064,hist
CRI,2021,66522107766.42961,13146.692791846464,5059988.0,1.6993697723069183,hist
CRI,2022,69549856033.0247,13686.161409082219,5081765.0,1.6841395152479093,hist
CRI,2023,73105190307.8725,14318.838965213665,5105525.0,1.6683909748697434,hist
CRI,2024,76264229553.4307,14866.582367610874,5129910.0,1.6525869694088005,hist
CRI,2025,76264229553.43083,14866.5823676109,5129910.0,1.6447136516055745,projected
CRI,2030,89791679867.41164,16673.723510575666,5385220.632359613,1.5912607800793919,projected
CRI,2035,104119104617.26804,18544.768744743196,5614473.06517544,1.5667478504003702,projected
CRI,2040,119674163092.61797,20566.078711116832,5819007.345718707,1.6232833782551106,projected
CRI,2045,136045128408.75055,22703.776720916325,5992180.511686241,1.6640900479788987,projected
CRI,2050,152951925658.34683,24921.680886815713,6137303.753827568,1.819713963313347,projected
CRI,2055,170571488390.64087,27270.323204439508,6254839.266550111,1.8478510259785355,projected
CRI,2060,189571300516.48898,29871.40657163925,6346246.202429359,1.8759880886437235,projected
CRI,2065,209541312246.43307,32747.2797329467,6398739.496997539,1.9518781854980236,projected
CRI,2070,230212349792.30112,35902.43421340173,6412165.493401755,2.0277682823523233,projected
CUB,2012,80357078126.4622,7109.248341856355,11303175.0,1.8943977497244562,hist
CUB,2013,82564971264.2729,7307.820044107411,11298167.0,1.9145712008400664,hist
CUB,2014,83429902609.353,7392.483246330269,11285775.0,1.9360284106515944,hist
CUB,2015,87132800000.0,7727.919972079983,11275065.0,1.957240770848006,hist
CUB,2016,87579654548.8907,7774.069846262299,11265612.0,1.9782727105905349,hist
CUB,2017,89164663941.19939,7927.277694317667,11247829.0,2.0008206617864777,hist
CUB,2018,91169039692.7712,8120.43123558256,11227118.0,2.0239677305592596,hist
CUB,2019,91020354637.1475,8124.75282059108,11202846.0,2.0478510920279454,hist
CUB,2020,81054139247.4509,7252.288111798436,11176354.0,2.0722497060007923,hist
CUB,2021,82070953176.2327,7379.04275283674,11122168.0,2.0726102173232097,hist
CUB,2022,83527427215.72989,7552.331522188417,11059820.0,2.074504086007703,hist
CUB,2023,81915873064.45308,7433.428853996734,11019931.0,2.072187614009033,hist
CUB,2024,81046145427.25609,7381.397740488686,10979783.0,2.0699031365518463,hist
CUB,2025,81046145427.25613,7381.39774048869,10979783.0,2.06004162516537,projected
CUB,2030,88923106574.0297,8268.999238067387,10753793.054504214,1.9930906758490208,projected
CUB,2035,96729219457.34604,9244.96051671173,10462913.203630526,1.9623876684019552,projected
CUB,2040,105633053627.47998,10446.70114244659,10111618.221591145,2.033199715573672,projected
CUB,2045,116079331316.49362,11961.361296197514,9704525.132385638,2.084311006668822,projected
CUB,2050,126517073070.15082,13687.93871806045,9242960.220388684,2.279233535065915,projected
CUB,2055,136143047371.42596,15582.856630289123,8736719.498965189,2.3144758523188855,projected
CUB,2060,145394294110.56033,17727.41124031128,8201665.327193443,2.3497181695718554,projected
CUB,2065,154472261361.96225,20131.23274681895,7673263.893209484,2.4447722589600436,projected
CUB,2070,163507548936.58286,22781.60443152887,7177174.435980227,2.5398263483482313,projected
CUW,2012,3083966131.99718,20277.51125662235,152088.0,,hist
CUW,2013,3064361462.6739,19921.4771792975,153822.0,,hist
CUW,2014,3044829273.42015,19529.52859309052,155909.0,,hist
CUW,2015,3058779211.89831,19361.8129630226,157980.0,,hist
CUW,2016,3026120390.73989,18953.053855220274,159664.0,,hist
CUW,2017,2987500760.4188004,18651.479696699236,160175.0,,hist
CUW,2018,2924640415.44914,18355.176579361476,159336.0,,hist
CUW,2019,2830872591.42199,17980.529794792907,157441.0,,hist
CUW,2020,2308902987.9911,14849.969694183892,155482.0,,hist
CUW,2021,2405500837.76418,15625.411423105075,153948.0,,hist
CUW,2022,2571624725.6201806,16772.814719576447,153321.0,,hist
CUW,2023,2679684396.59073,17326.96468627213,154654.0,,hist
CUW,2024,2814389451.52295,18044.775186564788,155967.0,,hist
CYM,2012,4403722268.68141,77074.3886285601,57136.0,,hist
CYM,2013,4460060434.88737,76038.87878079226,58655.0,,hist
CYM,2014,4578454046.88869,76104.62179003806,60160.0,,hist
CYM,2015,4708167255.28727,76379.20987779874,61642.0,,hist
CYM,2016,4860710632.08443,77031.86421686894,63100.0,,hist
CYM,2017,5015477958.0794,77717.17607622841,64535.0,,hist
CYM,2018,5229501727.25244,79305.76920660045,65941.0,,hist
CYM,2019,5434269999.23381,80714.57215134805,67327.0,,hist
CYM,2020,5165012391.41422,75199.64462486489,68684.0,,hist
CYM,2021,5416518359.79396,77259.63313450619,70108.0,,hist
CYM,2022,5729358427.59835,80029.03196768239,71591.0,,hist
CYM,2023,6062554528.013689,83005.48383052232,73038.0,,hist
CYP,2012,20981332378.0944,18003.592233457268,1165397.0,7.749954492717299,hist
CYP,2013,19599191826.1408,16554.839598225182,1183895.0,7.489414506571888,hist
CYP,2014,19251098679.0346,16018.5410721364,1201801.0,7.2404558313452805,hist
CYP,2015,19909278416.8575,16325.74478504955,1219502.0,6.999983378358748,hist
CYP,2016,21218032913.055405,17151.26270948419,1237112.0,6.76688966009861,hist
CYP,2017,22438246417.1514,17889.4153332813,1254275.0,6.5426697275259205,hist
CYP,2018,23845497750.3008,18765.092816452816,1270737.0,6.327992136690154,hist
CYP,2019,25246562822.6821,19621.61486711218,1286671.0,6.121316494356289,hist
CYP,2020,24433464399.3925,18762.542282218736,1302247.0,5.921324515563147,hist
CYP,2021,27218282939.641,20662.033691139284,1317309.0,5.429273547172261,hist
CYP,2022,29470249084.60581,22135.281014748572,1331370.0,4.952067965993919,hist
CYP,2023,30536911914.859497,22704.428863310197,1344976.0,4.486354067744484,hist
CYP,2024,31740302544.1463,23367.977006355308,1358282.0,4.030858370612352,hist
CYP,2025,44303378465.29297,32617.216796875,1358282.0,3.6193118881686335,projected
CYP,2030,48934215920.59732,34416.06584736968,1421842.2331481336,2.8970134993699173,projected
